Starting negotiation session.
Round 1
  Turn 1: Party 1       (Offer: Bid[Pie: a43, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a584, ])
Round 2
  Turn 1: Party 1       (Offer: Bid[Pie: a430, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a731, ])
Round 3
  Turn 1: Party 1       (Offer: Bid[Pie: a817, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a362, ])
Round 4
  Turn 1: Party 1       (Offer: Bid[Pie: a850, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a216, ])
Round 5
  Turn 1: Party 1       (Offer: Bid[Pie: a721, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a194, ])
Round 6
  Turn 1: Party 1       (Offer: Bid[Pie: a740, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a73, ])
Round 7
  Turn 1: Party 1       (Offer: Bid[Pie: a726, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a54, ])
Round 8
  Turn 1: Party 1       (Offer: Bid[Pie: a789, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a636, ])
Round 9
  Turn 1: Party 1       (Offer: Bid[Pie: a890, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a511, ])
Round 10
  Turn 1: Party 1       (Offer: Bid[Pie: a712, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a259, ])
Round 11
  Turn 1: Party 1       (Offer: Bid[Pie: a310, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a264, ])
Round 12
  Turn 1: Party 1       (Offer: Bid[Pie: a345, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a552, ])
Round 13
  Turn 1: Party 1       (Offer: Bid[Pie: a222, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a393, ])
Round 14
  Turn 1: Party 1       (Offer: Bid[Pie: a815, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a72, ])
Round 15
  Turn 1: Party 1       (Offer: Bid[Pie: a823, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a344, ])
Round 16
