Starting negotiation session.
Round 1
  Turn 1: Party 1       (Offer: Bid[Pie: a43, ])
  Turn 1: Party 1       (Offer: Bid[Pie: a344, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a19, ])
Round 17
  Turn 1: Party 1       (Offer: Bid[Pie: a106, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a742, ])
Round 18
  Turn 1: Party 1       (Offer: Bid[Pie: a976, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a171, ])
Round 19
  Turn 1: Party 1       (Offer: Bid[Pie: a739, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a814, ])
Round 20
  Turn 1: Party 1       (Offer: Bid[Pie: a507, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a645, ])
Round 21
  Turn 1: Party 1       (Offer: Bid[Pie: a245, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a356, ])
Round 22
  Turn 1: Party 1       (Offer: Bid[Pie: a976, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a60, ])
Round 23
  Turn 1: Party 1       (Offer: Bid[Pie: a378, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a526, ])
Round 24
  Turn 1: Party 1       (Offer: Bid[Pie: a267, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a112, ])
Round 25
  Turn 1: Party 1       (Offer: Bid[Pie: a829, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a263, ])
Round 26
  Turn 1: Party 1       (Offer: Bid[Pie: a802, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a599, ])
Round 27
  Turn 1: Party 1       (Offer: Bid[Pie: a910, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a396, ])
Round 28
  Turn 1: Party 1       (Offer: Bid[Pie: a152, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a524, ])
Round 29
  Turn 1: Party 1       (Offer: Bid[Pie: a624, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a39, ])
Round 30
  Turn 1: Party 1       (Offer: Bid[Pie: a814, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a857, ])
Round 31
  Turn 1: Party 1       (Offer: Bid[Pie: a905, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a50, ])
Round 32
  Turn 1: Party 1       (Offer: Bid[Pie: a561, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a282, ])
Round 33
  Turn 1: Party 1       (Offer: Bid[Pie: a925, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a575, ])
Round 34
  Turn 1: Party 1       (Offer: Bid[Pie: a951, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a617, ])
Round 35
  Turn 1: Party 1       (Offer: Bid[Pie: a156, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a470, ])
Round 36
  Turn 1: Party 1       (Offer: Bid[Pie: a209, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a272, ])
Round 37
  Turn 1: Party 1       (Offer: Bid[Pie: a767, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a539, ])
Round 38
  Turn 1: Party 1       (Offer: Bid[Pie: a148, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a33, ])
Round 39
  Turn 1: Party 1       (Offer: Bid[Pie: a338, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a334, ])
Round 40
  Turn 1: Party 1       (Offer: Bid[Pie: a927, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a367, ])
Round 41
  Turn 1: Party 1       (Offer: Bid[Pie: a635, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a508, ])
Round 42
  Turn 1: Party 1       (Offer: Bid[Pie: a740, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a607, ])
Round 43
  Turn 1: Party 1       (Offer: Bid[Pie: a453, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a740, ])
Round 44
  Turn 1: Party 1       (Offer: Bid[Pie: a575, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a706, ])
Round 45
  Turn 1: Party 1       (Offer: Bid[Pie: a199, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a184, ])
Round 46
  Turn 1: Party 1       (Offer: Bid[Pie: a549, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a549, ])
Round 47
  Turn 1: Party 1       (Offer: Bid[Pie: a923, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a614, ])
Round 48
  Turn 1: Party 1       (Offer: Bid[Pie: a820, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a267, ])
Round 49
  Turn 1: Party 1       (Offer: Bid[Pie: a901, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a647, ])
Round 50
  Turn 1: Party 1       (Offer: Bid[Pie: a514, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a312, ])
Round 51
  Turn 1: Party 1       (Offer: Bid[Pie: a507, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a859, ])
Round 52
  Turn 1: Party 1       (Offer: Bid[Pie: a242, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a250, ])
Round 53
  Turn 1: Party 1       (Offer: Bid[Pie: a178, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a456, ])
Round 54
  Turn 1: Party 1       (Offer: Bid[Pie: a532, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a574, ])
Round 55
  Turn 1: Party 1       (Offer: Bid[Pie: a600, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a510, ])
Round 56
  Turn 1: Party 1       (Offer: Bid[Pie: a663, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a108, ])
Round 57
  Turn 1: Party 1       (Offer: Bid[Pie: a742, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a563, ])
Round 58
  Turn 1: Party 1       (Offer: Bid[Pie: a344, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a749, ])
Round 59
  Turn 1: Party 1       (Offer: Bid[Pie: a239, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a208, ])
Round 60
  Turn 1: Party 1       (Offer: Bid[Pie: a629, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a631, ])
Round 61
  Turn 1: Party 1       (Offer: Bid[Pie: a560, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a220, ])
Round 62
  Turn 1: Party 1       (Offer: Bid[Pie: a784, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a689, ])
Round 63
  Turn 1: Party 1       (Offer: Bid[Pie: a380, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a851, ])
Round 64
  Turn 1: Party 1       (Offer: Bid[Pie: a509, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a326, ])
Round 65
  Turn 1: Party 1       (Offer: Bid[Pie: a618, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a275, ])
Round 66
  Turn 1: Party 1       (Offer: Bid[Pie: a398, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a170, ])
Round 67
  Turn 1: Party 1       (Offer: Bid[Pie: a116, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a33, ])
Round 68
  Turn 1: Party 1       (Offer: Bid[Pie: a751, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a21, ])
Round 69
  Turn 1: Party 1       (Offer: Bid[Pie: a490, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a390, ])
Round 70
  Turn 1: Party 1       (Offer: Bid[Pie: a417, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a530, ])
Round 71
  Turn 1: Party 1       (Offer: Bid[Pie: a691, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a426, ])
Round 72
  Turn 1: Party 1       (Offer: Bid[Pie: a756, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a456, ])
Round 73
  Turn 1: Party 1       (Offer: Bid[Pie: a829, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a108, ])
Round 74
  Turn 1: Party 1       (Offer: Bid[Pie: a506, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a114, ])
Round 75
  Turn 1: Party 1       (Offer: Bid[Pie: a148, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a587, ])
Round 76
  Turn 1: Party 1       (Offer: Bid[Pie: a803, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a747, ])
Round 77
  Turn 1: Party 1       (Offer: Bid[Pie: a312, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a37, ])
Round 78
  Turn 1: Party 1       (Offer: Bid[Pie: a810, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a355, ])
Round 79
  Turn 1: Party 1       (Offer: Bid[Pie: a146, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a329, ])
Round 80
  Turn 1: Party 1       (Offer: Bid[Pie: a410, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a696, ])
Round 81
  Turn 1: Party 1       (Offer: Bid[Pie: a324, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a890, ])
Round 82
  Turn 1: Party 1       (Offer: Bid[Pie: a442, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a855, ])
Round 83
  Turn 1: Party 1       (Offer: Bid[Pie: a730, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a265, ])
Round 84
  Turn 1: Party 1       (Offer: Bid[Pie: a477, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a82, ])
Round 85
  Turn 1: Party 1       (Offer: Bid[Pie: a678, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a195, ])
Round 86
  Turn 1: Party 1       (Offer: Bid[Pie: a355, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a313, ])
Round 87
  Turn 1: Party 1       (Offer: Bid[Pie: a636, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a617, ])
Round 88
  Turn 1: Party 1       (Offer: Bid[Pie: a869, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a704, ])
Round 89
  Turn 1: Party 1       (Offer: Bid[Pie: a896, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a315, ])
Round 90
  Turn 1: Party 1       (Offer: Bid[Pie: a817, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a544, ])
Round 91
  Turn 1: Party 1       (Offer: Bid[Pie: a344, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a11, ])
Round 92
  Turn 1: Party 1       (Offer: Bid[Pie: a130, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a229, ])
Round 93
  Turn 1: Party 1       (Offer: Bid[Pie: a435, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a98, ])
Round 94
  Turn 1: Party 1       (Offer: Bid[Pie: a297, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a797, ])
Round 95
  Turn 1: Party 1       (Offer: Bid[Pie: a227, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a829, ])
Round 96
  Turn 1: Party 1       (Offer: Bid[Pie: a549, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a839, ])
Round 97
  Turn 1: Party 1       (Offer: Bid[Pie: a550, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a826, ])
Round 98
  Turn 1: Party 1       (Offer: Bid[Pie: a532, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a323, ])
Round 99
  Turn 1: Party 1       (Offer: Bid[Pie: a233, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a883, ])
Round 100
  Turn 1: Party 1       (Offer: Bid[Pie: a357, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a760, ])
Round 101
  Turn 1: Party 1       (Offer: Bid[Pie: a346, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a332, ])
Round 102
  Turn 1: Party 1       (Offer: Bid[Pie: a611, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a752, ])
Round 103
  Turn 1: Party 1       (Offer: Bid[Pie: a868, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a385, ])
Round 104
  Turn 1: Party 1       (Offer: Bid[Pie: a238, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a851, ])
Round 105
  Turn 1: Party 1       (Offer: Bid[Pie: a818, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a163, ])
Round 106
  Turn 1: Party 1       (Offer: Bid[Pie: a712, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a763, ])
Round 107
  Turn 1: Party 1       (Offer: Bid[Pie: a995, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a41, ])
Round 108
  Turn 1: Party 1       (Offer: Bid[Pie: a368, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a661, ])
Round 109
  Turn 1: Party 1       (Offer: Bid[Pie: a421, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a849, ])
Round 110
  Turn 1: Party 1       (Offer: Bid[Pie: a439, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a451, ])
Round 111
  Turn 1: Party 1       (Offer: Bid[Pie: a355, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a768, ])
Round 112
  Turn 1: Party 1       (Offer: Bid[Pie: a813, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a866, ])
Round 113
  Turn 1: Party 1       (Offer: Bid[Pie: a977, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a86, ])
Round 114
  Turn 1: Party 1       (Offer: Bid[Pie: a321, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a622, ])
Round 115
  Turn 1: Party 1       (Offer: Bid[Pie: a529, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a559, ])
Round 116
  Turn 1: Party 1       (Offer: Bid[Pie: a826, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a672, ])
Round 117
  Turn 1: Party 1       (Offer: Bid[Pie: a345, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a822, ])
Round 118
  Turn 1: Party 1       (Offer: Bid[Pie: a634, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a758, ])
Round 119
  Turn 1: Party 1       (Offer: Bid[Pie: a215, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a531, ])
Round 120
  Turn 1: Party 1       (Offer: Bid[Pie: a345, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a770, ])
Round 121
  Turn 1: Party 1       (Offer: Bid[Pie: a719, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a434, ])
Round 122
  Turn 1: Party 1       (Offer: Bid[Pie: a692, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a208, ])
Round 123
  Turn 1: Party 1       (Offer: Bid[Pie: a226, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a53, ])
Round 124
  Turn 1: Party 1       (Offer: Bid[Pie: a676, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a310, ])
Round 125
  Turn 1: Party 1       (Offer: Bid[Pie: a855, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a0, ])
Round 126
  Turn 1: Party 1       (Offer: Bid[Pie: a369, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a808, ])
Round 127
  Turn 1: Party 1       (Offer: Bid[Pie: a363, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a332, ])
Round 128
  Turn 1: Party 1       (Offer: Bid[Pie: a145, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a608, ])
Round 129
  Turn 1: Party 1       (Offer: Bid[Pie: a583, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a235, ])
Round 130
  Turn 1: Party 1       (Offer: Bid[Pie: a770, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a94, ])
Round 131
  Turn 1: Party 1       (Offer: Bid[Pie: a401, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a113, ])
Round 132
  Turn 1: Party 1       (Offer: Bid[Pie: a182, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a454, ])
Round 133
  Turn 1: Party 1       (Offer: Bid[Pie: a289, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a599, ])
Round 134
  Turn 1: Party 1       (Offer: Bid[Pie: a359, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a204, ])
Round 135
  Turn 1: Party 1       (Offer: Bid[Pie: a172, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a147, ])
Round 136
  Turn 1: Party 1       (Offer: Bid[Pie: a747, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a137, ])
Round 137
  Turn 1: Party 1       (Offer: Bid[Pie: a828, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a895, ])
Round 138
  Turn 1: Party 1       (Offer: Bid[Pie: a676, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a475, ])
Round 139
  Turn 1: Party 1       (Offer: Bid[Pie: a529, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a59, ])
Round 140
  Turn 1: Party 1       (Offer: Bid[Pie: a954, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a696, ])
Round 141
  Turn 1: Party 1       (Offer: Bid[Pie: a642, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a418, ])
Round 142
  Turn 1: Party 1       (Offer: Bid[Pie: a838, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a15, ])
Round 143
  Turn 1: Party 1       (Offer: Bid[Pie: a712, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a808, ])
Round 144
  Turn 1: Party 1       (Offer: Bid[Pie: a408, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a28, ])
Round 145
  Turn 1: Party 1       (Offer: Bid[Pie: a908, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a845, ])
Round 146
  Turn 1: Party 1       (Offer: Bid[Pie: a221, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a419, ])
Round 147
  Turn 1: Party 1       (Offer: Bid[Pie: a301, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a326, ])
Round 148
  Turn 1: Party 1       (Offer: Bid[Pie: a413, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a101, ])
Round 149
  Turn 1: Party 1       (Offer: Bid[Pie: a665, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a160, ])
Round 150
  Turn 1: Party 1       (Offer: Bid[Pie: a694, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a417, ])
Round 151
  Turn 1: Party 1       (Offer: Bid[Pie: a398, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a575, ])
Round 152
  Turn 1: Party 1       (Offer: Bid[Pie: a386, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a563, ])
Round 153
  Turn 1: Party 1       (Offer: Bid[Pie: a300, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a262, ])
Round 154
  Turn 1: Party 1       (Offer: Bid[Pie: a792, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a236, ])
Round 155
  Turn 1: Party 1       (Offer: Bid[Pie: a361, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a51, ])
Round 156
  Turn 1: Party 1       (Offer: Bid[Pie: a330, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a436, ])
Round 157
  Turn 1: Party 1       (Offer: Bid[Pie: a478, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a467, ])
Round 158
  Turn 1: Party 1       (Offer: Bid[Pie: a299, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a864, ])
Round 159
  Turn 1: Party 1       (Offer: Bid[Pie: a305, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a609, ])
Round 160
  Turn 1: Party 1       (Offer: Bid[Pie: a370, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a15, ])
Round 161
  Turn 1: Party 1       (Offer: Bid[Pie: a668, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a438, ])
Round 162
  Turn 1: Party 1       (Offer: Bid[Pie: a949, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a432, ])
Round 163
  Turn 1: Party 1       (Accept)
Found an agreement: Bid[Pie: a432, ]
Finished negotiation session in 0.450s
Time (s):		0.4496038
Rounds:		163
Agreement?:		Yes
Discounted?:		No
2
Min. utility:		0.43200
Max. utility:		0.56800
Distance to pareto:	0.00000
Distance to Nash:	0.09617
Social welfare:		1.00000
Agent utility:		0.43200 (Party 1)
Agent utility:		0.56800 (Party 2)

